"","Time trend Estimate (95% CI)"
"92_1","1.56 (1.19, 2.06)"
"92_2","1.27 (1, 1.63)"
"92_3","1.38 (0.99, 1.91)"
"92_4","0.95 (0.78, 1.16)"
"92_5","0.82 (0.66, 1.02)"
"92_6","0.88 (0.72, 1.08)"
"92_7","0.79 (0.63, 0.99)"
"92_8","0.81 (0.67, 1)"
"92_9","0.81 (0.65, 1.02)"
"92_10","0.83 (0.7, 0.98)"
"92_11","0.59 (0.42, 0.83)"
"92_12","1.51 (1.02, 2.31)"
"92_13","1.19 (0.95, 1.46)"
"92_14","0.82 (0.65, 1.02)"
"92_15","1.04 (0.71, 1.52)"
