"","SC Estimate (95% CI)"
"92_1","0.83 (0.68, 1.01)"
"92_2","0.41 (0.29, 0.56)"
"92_3","0.82 (0.64, 1.04)"
"92_4","0.84 (0.73, 0.96)"
"92_5","0.62 (0.53, 0.71)"
"92_6","0.72 (0.59, 0.86)"
"92_7","0.59 (0.47, 0.71)"
"92_8","0.64 (0.58, 0.71)"
"92_9","0.53 (0.41, 0.72)"
"92_10","0.54 (0.48, 0.6)"
"92_11","0.52 (0.43, 0.63)"
"92_12","0.37 (0.28, 0.48)"
"92_13","0.55 (0.47, 0.64)"
"92_14","0.76 (0.63, 0.91)"
"92_15","0.7 (0.54, 0.89)"
