"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"92_1",1.19083969465649,1.56,2.06167400881057
"92_2",0.995446265938069,1.27389277389277,1.6264880952381
"92_3",0.990328820116054,1.3800539083558,1.91044776119403
"92_4",0.778132665054501,0.953014184397163,1.1615500021902
"92_5",0.660097521332792,0.824828636709825,1.02492922117158
"92_6",0.718189964157706,0.87980241492865,1.0758389261745
"92_7",0.634517550572089,0.793221793221793,0.994634146800454
"92_8",0.668715986657872,0.814802738832736,1.00140252454418
"92_9",0.648891383665451,0.810091100210231,1.02121269492793
"92_10",0.69812925170068,0.825402144772118,0.97972335027309
"92_11",0.418714502822406,0.592771084337349,0.825503355704698
"92_12",1.02290076335878,1.50561797752809,2.31034482758621
"92_13",0.954732761468284,1.18576183829056,1.4581490632434
"92_14",0.648462929475588,0.820970695970696,1.02398629354654
"92_15",0.710144927536232,1.03521126760563,1.51546391752577
