"","Lower CI","Point Estimate","Upper CI"
"9_1",0.37043795620438,0.563888888888889,0.849372384937239
"9_10",0.681096681096681,1.18295739348371,1.9504132231405
"9_11",0.805953033575569,1.03016009664258,1.29043152134696
"9_12",0.486697965571205,0.807093425605536,1.31593794076164
"9_13",0.455165877715938,0.707142857142857,1.10310252794256
"9_14",0.732068288841274,0.90671256454389,1.10998735777497
"9_15",0.42688955479516,0.574981101260654,0.760452897584111
"9_16",0.427321139382101,0.592146928435719,0.799828913601369
"9_17",0.157130122745752,0.355496453900709,0.778678648332136
"9_19",0.412588632642404,0.70043493967388,1.17111146469292
"9_2",0.716875871687587,0.964352720450281,1.30291508238276
"9_20",0.609019481006039,0.84769316286826,1.16950096579861
"9_21",0.572283413058093,0.704747774480712,0.86891569256983
"9_22",0.850434782608696,1.21039603960396,1.73404255319149
"9_23",0.790513833992095,1.0230179028133,1.30718954248366
"9_24",0.46626021401317,0.604298974108451,0.77603513174404
"9_25",0.560375994215474,0.792433537832311,1.12809315866084
"9_26",0.409528016732803,1.04774535809019,2.44961240310078
"9_27",0.821766561514196,1.00968992248062,1.22204847537138
"9_28",0.812547819433818,1.14624965925056,1.58982035928144
"9_29",0.189354841452328,0.511557788944724,1.29187817258883
"9_30",0.640280561122245,0.827720207253886,1.06766917293233
"9_31",0.775315949253228,1.08429118773946,1.51742627345844
"9_32",0.604893621799275,0.804060017652251,1.04833141542002
"9_4",0.704011065006916,0.913824057450628,1.162100456621
"9_5",0.323446015365078,0.512845370819195,0.832415420928403
"9_7",0.673798260198668,0.850885826771654,1.0601020958951
"9_8",0.809280544912729,0.993207941483804,1.21082802547771
"9_9",0.893568582811611,1.05617221661621,1.24012638230648
