"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"9_1",0.339174208476115,0.539176626826029,0.856540084388186
"9_10",0.489626556016597,0.746835443037975,1.12649164677804
"9_11",0.924395795862282,1.22231107556977,1.58640373637779
"9_12",0.537752161383285,0.767901234567901,1.08488372093023
"9_13",0.462346760070053,0.729953917050691,1.12660028449502
"9_14",0.690066217644781,0.912998266897747,1.19077757685353
"9_15",0.709796531366979,1.00249013429647,1.42170151929413
"9_16",0.570121951219512,0.777870216306156,1.04239251746894
"9_17",0.64573268921095,0.992574257425743,1.53053435114504
"9_19",0.815354156031084,1.1112012987013,1.51773835920177
"9_2",0.806242940715832,1.16289592760181,1.67980729116524
"9_20",0.738489853010461,1.10587382160986,1.60526315789474
"9_21",0.591034935752593,0.824414300976801,1.15571776155718
"9_22",0.806897458691504,1.13720930232558,1.61920529801324
"9_23",0.608804874325131,1.00502512562814,1.61959777492512
"9_24",0.555206463195691,0.740053910073045,0.980967486122125
"9_25",0.737392959086584,1.13469985358712,1.73766816143498
"9_26",0.505919742540476,0.72744014732965,1.04359313077939
"9_27",0.792164559354935,1.11962750716332,1.60972222812065
"9_28",0.74005680218959,1.04117647058824,1.43126684636119
"9_29",0.469535576916543,0.768882175226586,1.1892523364486
"9_30",0.688206785137318,0.964528301886793,1.36977491961415
"9_31",0.869431643625192,1.35406698564593,2.11985018726592
"9_32",0.387317596624637,0.668378576669112,1.13736388108614
"9_4",0.809220985691574,1.25679012345679,1.97286821705426
"9_5",0.490041685965725,0.724161533196441,1.09751037344398
"9_7",0.888946015424165,1.18913342503439,1.55906221821461
"9_8",0.963007060136201,1.34441301272984,1.8600782778865
"9_9",0.761396702230844,1.05122196183462,1.44971031894358
