"","X2.5..ac_pneumonia_Age1","X50..ac_pneumonia_Age1","X97.5..ac_pneumonia_Age1","X2.5..ac_pneumonia_Age1_0","X50..ac_pneumonia_Age1_0","X97.5..ac_pneumonia_Age1_0","X2.5..ac_pneumonia_Age1_1","X50..ac_pneumonia_Age1_1","X97.5..ac_pneumonia_Age1_1","X2.5..ac_pneumonia_Age2","X50..ac_pneumonia_Age2","X97.5..ac_pneumonia_Age2","X2.5..ac_pneumonia_Age3","X50..ac_pneumonia_Age3","X97.5..ac_pneumonia_Age3","X2.5..ac_pneumonia_Age4","X50..ac_pneumonia_Age4","X97.5..ac_pneumonia_Age4","X2.5..ac_pneumonia_Age5","X50..ac_pneumonia_Age5","X97.5..ac_pneumonia_Age5","X2.5..ac_pneumonia_Age6","X50..ac_pneumonia_Age6","X97.5..ac_pneumonia_Age6","X2.5..HP_all_raw_Age1","X50..HP_all_raw_Age1","X97.5..HP_all_raw_Age1","X2.5..RP_all_raw_Age1","X50..RP_all_raw_Age1","X97.5..RP_all_raw_Age1","X2.5..VS_SP_all_raw_Age1","X50..VS_SP_all_raw_Age1","X97.5..VS_SP_all_raw_Age1"
"1",0.765984654731458,0.961476725521669,1.20281124497992,0.746765249537893,0.971153846153846,1.25856697819315,0.767716535433071,0.955882352941177,1.2037037037037,0.748502994011976,0.954198473282443,1.23762376237624,0.759493670886076,0.983606557377049,1.33333333333333,0.835294117647059,1.14516129032258,1.65116279069767,0.827838827838828,1.03196347031963,1.29885057471264,0.866935483870968,1.075,1.3961038961039,0.682926829268293,0.888888888888889,1.19148936170213,0.563218390804598,0.907407407407407,1.48484848484848,0.468137254901961,0.658620689655172,0.913875598086124
"2",0.781049935979513,0.977564102564103,1.22983870967742,0.743970315398887,0.963942307692308,1.24148606811146,0.822834645669291,1.02450980392157,1.28220858895706,0.761904761904762,0.977099236641221,1.25490196078431,0.746835443037975,0.967213114754098,1.31111111111111,0.823529411764706,1.12903225806452,1.66666666666667,0.864468864468865,1.07762557077626,1.34857142857143,0.8203125,1.02439024390244,1.35483870967742,0.634146341463415,0.8125,1.1063829787234,0.564705882352941,0.905660377358491,1.45454545454545,0.438725490196078,0.617241379310345,0.860576923076923
"3",0.774111675126904,0.977564102564103,1.22244488977956,0.743068391866913,0.966346153846154,1.24074074074074,0.818897637795276,1.02463054187192,1.28395061728395,0.75,0.961832061068702,1.23529411764706,0.683544303797468,0.870967741935484,1.2,0.819277108433735,1.11475409836066,1.58139534883721,0.882783882783883,1.10550458715596,1.38505747126437,0.803846153846154,1.00966183574879,1.33995967741935,0.63855421686747,0.828125,1.10416666666667,0.552941176470588,0.87037037037037,1.42424242424242,0.437652811735941,0.617241379310345,0.856459330143541
"4",0.750636132315522,0.944,1.18473895582329,0.70737471760115,0.918269230769231,1.18633540372671,0.815686274509804,1.01960784313725,1.2760736196319,0.714180050718512,0.909090909090909,1.17647058823529,0.620253164556962,0.790322580645161,1.08888888888889,0.845238095238095,1.16393442622951,1.69047619047619,0.897728599867286,1.12844036697248,1.40591625615763,0.779467680608365,0.980861244019139,1.31410256410256,0.634146341463415,0.8125,1.1063829787234,0.583333333333333,0.924528301886792,1.48484848484848,0.405405405405405,0.568965517241379,0.78580827067669
"5",0.69248120634163,0.873397435897436,1.09879032258065,0.637707948243993,0.831325301204819,1.07142857142857,0.784313725490196,0.980392156862745,1.24223602484472,0.744047619047619,0.946969696969697,1.22549019607843,0.620059335443038,0.790322580645161,1.06521739130435,0.847058823529412,1.18032786885246,1.71428571428571,0.858695652173913,1.08219178082192,1.34659090909091,0.796992481203007,1.00473933649289,1.36774193548387,0.536585365853659,0.698412698412698,0.936170212765957,0.55952380952381,0.886792452830189,1.46875,0.380835380835381,0.53448275862069,0.741626794258373
"6",0.64968152866242,0.818619582664527,1.0261569416499,0.597765363128492,0.773493975903614,1,0.741176470588235,0.931034482758621,1.17391304347826,0.666666666666667,0.848484848484849,1.10891089108911,0.5375,0.693548387096774,0.955555555555556,0.785714285714286,1.08196721311475,1.57238675958187,0.851372429759849,1.07305936073059,1.34285714285714,0.774436090225564,0.976303317535545,1.32903225806452,0.51219512195122,0.666666666666667,0.893617021276596,0.55952380952381,0.886792452830189,1.46875,0.373464373464373,0.524137931034483,0.723896103896103
"7",0.630710659898477,0.79903536977492,1.0040404040404,0.578822923108637,0.753623188405797,0.981132075471698,0.728346456692913,0.911330049261084,1.14924786490683,0.637426900584795,0.819548872180451,1.06862745098039,0.594936708860759,0.770491803278688,1.04444444444444,0.795180722891566,1.08196721311475,1.57142857142857,0.797101449275362,1.00917431192661,1.25,0.840740740740741,1.0607476635514,1.46451612903226,0.5,0.650793650793651,0.891304347826087,0.541176470588235,0.851851851851852,1.4375,0.349753694581281,0.491349480968858,0.676190476190476
"8",0.755077992980632,0.953301127214171,1.1959595959596,0.711926605504587,0.93719806763285,1.20506278903272,0.803149606299213,1.00492610837438,1.275,0.625,0.801526717557252,1.02941176470588,0.575,0.748016922263353,1.02222222222222,0.823529411764706,1.12903225806452,1.70731707317073,0.798561151079137,1.01834862385321,1.26857142857143,0.856617647058823,1.08878504672897,1.51298701298701,0.592592592592593,0.774193548387097,1.06666666666667,0.625,1,1.66666666666667,0.409756097560976,0.579310344827586,0.807692307692308
"9",0.840764331210191,1.06280193236715,1.33333333333333,0.818014705882353,1.0774818401937,1.390625,0.846456692913386,1.05911330049261,1.34375,0.652694610778443,0.825757575757576,1.06862745098039,0.6,0.786885245901639,1.06666666666667,0.772727272727273,1.09677419354839,1.65853658536585,0.820143884892086,1.04587155963303,1.30285714285714,0.863970588235294,1.09302325581395,1.52597402597403,0.666666666666667,0.870967741935484,1.2,0.640449438202247,1.05555555555556,1.72727272727273,0.471744471744472,0.664359861591695,0.923076923076923
"10",0.867629422249777,1.1,1.38336713995943,0.846435100548446,1.11566265060241,1.45152476291871,0.862204724409449,1.07881773399015,1.36875,0.67065868263473,0.854961832061069,1.09803921568627,0.556787974683544,0.721311475409836,1,0.782608695652174,1.14285714285714,1.75609756097561,0.815884476534296,1.03669724770642,1.29885057471264,0.871323529411765,1.10747663551402,1.53896103896104,0.691358024691358,0.903225806451613,1.24444444444444,0.662737203495631,1.09259259259259,1.78787878787879,0.502439024390244,0.71280276816609,1
