"","SC Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.15)"
"ac_pneumonia_Age1_0","0.95 (0.77, 1.16)"
"ac_pneumonia_Age1_1","0.93 (0.75, 1.24)"
"ac_pneumonia_Age2","0.65 (0.52, 0.8)"
"ac_pneumonia_Age3","0.55 (0.43, 0.69)"
"ac_pneumonia_Age4","0.65 (0.45, 0.92)"
"ac_pneumonia_Age5","0.97 (0.78, 1.18)"
"ac_pneumonia_Age6","1.23 (0.97, 1.99)"
"HP_all_raw_Age1","0.74 (0.58, 0.95)"
"RP_all_raw_Age1","0.73 (0.38, 1.16)"
"VS_SP_all_raw_Age1","0.69 (0.52, 0.9)"
