"","Time trend Estimate (95% CI)"
"ac_pneumonia_Age1","0.83 (0.58, 1.19)"
"ac_pneumonia_Age1_0","0.8 (0.53, 1.19)"
"ac_pneumonia_Age1_1","0.84 (0.55, 1.26)"
"ac_pneumonia_Age2","0.67 (0.47, 0.94)"
"ac_pneumonia_Age3","0.36 (0.24, 0.56)"
"ac_pneumonia_Age4","0.43 (0.27, 0.71)"
"ac_pneumonia_Age5","0.88 (0.63, 1.21)"
"ac_pneumonia_Age6","1.04 (0.71, 1.49)"
"HP_all_raw_Age1","0.64 (0.38, 1.04)"
"RP_all_raw_Age1","0.37 (0.2, 0.65)"
"VS_SP_all_raw_Age1","0.87 (0.55, 1.35)"
