"","Best Estimate (95% CI)"
"0","0.89 (0.84, 0.95)"
"1","0.92 (0.86, 0.96)"
"2","0.93 (0.88, 0.97)"
"3","0.97 (0.9, 1.03)"
"4","0.96 (0.86, 1.3)"
"5","1.12 (1, 1.24)"
"6","0.92 (0.84, 1)"
"7","1.02 (0.86, 1.08)"
"8","0.97 (0.91, 1.03)"
"9","0.93 (0.88, 0.97)"
