"","Time trend Estimate (95% CI)"
"0","1.1 (0.97, 1.25)"
"1","0.98 (0.85, 1.11)"
"2","0.86 (0.76, 0.98)"
"3","0.87 (0.78, 0.98)"
"4","0.88 (0.78, 0.99)"
"5","0.96 (0.84, 1.08)"
"6","0.9 (0.82, 0.99)"
"7","0.89 (0.82, 0.97)"
"8","0.88 (0.81, 0.97)"
"9","0.94 (0.84, 1.06)"
