"","STL+PCA Estimate (95% CI)"
"2","0.94 (0.84, 1.05)"
"3","0.97 (0.86, 1.09)"
"4","1.03 (0.94, 1.14)"
"5","1.01 (0.91, 1.12)"
"6","1.05 (1, 1.1)"
"7","1.15 (1.08, 1.22)"
"8","1.14 (1.08, 1.21)"
"9","1.03 (0.89, 1.19)"
