"","SC Estimate (95% CI)"
"2","0.91 (0.8, 1.04)"
"3","1.08 (0.98, 1.19)"
"4","1.12 (1.01, 1.24)"
"5","1.09 (0.97, 1.23)"
"6","1 (0.94, 1.06)"
"7","1.13 (1.06, 1.2)"
"8","1.11 (1.04, 1.19)"
"9","1.13 (0.96, 1.3)"
