"","Time trend Estimate (95% CI)"
"2","0.92 (0.79, 1.06)"
"3","0.85 (0.72, 1.01)"
"4","0.89 (0.76, 1.05)"
"5","0.83 (0.74, 0.93)"
"6","1 (0.91, 1.09)"
"7","1.05 (0.96, 1.14)"
"8","1.11 (1.03, 1.2)"
"9","1.2 (0.97, 1.48)"
