"","X2.5..2","X50..2","X97.5..2","X2.5..3","X50..3","X97.5..3","X2.5..4","X50..4","X97.5..4","X2.5..5","X50..5","X97.5..5","X2.5..6","X50..6","X97.5..6","X2.5..7","X50..7","X97.5..7","X2.5..8","X50..8","X97.5..8","X2.5..9","X50..9","X97.5..9"
"1",0.856442264823897,0.99585277345775,1.14961101137044,0.861554297478127,1.02573529411765,1.22189781021898,0.832018038331454,0.970414201183432,1.13538461538462,0.832080924855491,0.930510665804783,1.03860028860029,0.864607844097716,0.945462655168834,1.03253141131781,0.903474937103268,0.981310175571078,1.06516393442623,0.940111542147772,1.01421285277117,1.09220865998312,0.804379038129484,1.02407141287676,1.2945397349497
"2",0.842662009256983,0.979676915059927,1.13391336822327,0.831282051282051,0.98962148962149,1.18234865061999,0.812288613303269,0.949901120632828,1.10846153846154,0.827447602641401,0.924606993904395,1.0341053970119,0.857755829015544,0.93977292886287,1.02874065443247,0.904352032273896,0.984084215802995,1.06887633567005,0.942751411214158,1.01689624754021,1.09675058548009,0.80586592178771,1.02790973871734,1.29372197309417
"3",0.854082998661312,0.992738589211618,1.15025767626278,0.856923863055697,1.02193784277879,1.22052401746725,0.811149792781492,0.947333772218565,1.10607225211376,0.803125661677746,0.898657289002558,1.0035791139644,0.859473429171378,0.941603256060874,1.02881145811205,0.908094972872291,0.987847657228765,1.07498479048439,0.957792743163398,1.03319783197832,1.11493315942438,0.830459474180615,1.05986959098992,1.33137253052478
"4",0.858146522874461,0.996910401647786,1.15582089552239,0.874622356495468,1.04449789536981,1.2514409221902,0.803030303030303,0.935294117647059,1.09236641221374,0.804753820033956,0.903143855192124,1.01102026306434,0.864250556173182,0.946220416813847,1.03757392677422,0.925238787493659,1.00694140454005,1.09612167493947,0.970366075414272,1.04942194577784,1.13365882931751,0.848503158469983,1.08367952522255,1.37396538750941
"5",0.830795998260113,0.968559837728195,1.12286890064668,0.827483934750371,0.991119005328597,1.18807665010646,0.769359331476323,0.896753246753247,1.04779969650986,0.801066585452438,0.896431954531102,1.00283471547344,0.868130147790641,0.951500748173576,1.04374105397152,0.937387464368699,1.01902801172874,1.11070311437508,0.989150578100911,1.06834556595515,1.15314451247522,0.757187130402187,0.96508875739645,1.21991811534
"6",0.824109824109824,0.964841788046208,1.12013295583277,0.80635551142006,0.96551724137931,1.155871886121,0.724613686534216,0.846550612508059,0.992460188815819,0.766076539483453,0.859956236323851,0.964586255259467,0.858015139939859,0.942033412181637,1.03349602832807,0.917881122408879,1.00018577001672,1.08987854251012,0.977257087737841,1.05493326178818,1.13880446543492,0.695810564663024,0.898823529411765,1.13185185185185
"7",0.837628865979381,0.982862903225806,1.14101813926273,0.80080280983442,0.96028880866426,1.14985590778098,0.686143572621035,0.800649350649351,0.942660550458716,0.736280032858687,0.827025336252737,0.928044928044928,0.855252768575972,0.94021978021978,1.02797001153403,0.905584572117316,0.986001749781277,1.07457787006952,0.957387892486167,1.03178682537536,1.11325160537069,0.740275034920492,0.954599056603774,1.20730797912006
"8",0.847722342733189,0.995415180845644,1.15691470667464,0.809547993905536,0.972544234289201,1.16605705925384,0.686908077994429,0.804305283757339,0.947732513451191,0.731425088501338,0.823144104803493,0.92531556802244,0.859014298266635,0.945032736127399,1.03553201733269,0.894226570788722,0.976439790575916,1.06340120735744,0.958365696212902,1.03413153456998,1.11636611273812,0.781784292820714,1.00707130229817,1.2839969947408
"9",0.840598855129899,0.989631933644375,1.15277777777778,0.809183673469388,0.976,1.16789396170839,0.687701700620862,0.803159973666886,0.947940947940948,0.729717156114042,0.822222222222222,0.922725676150334,0.867814225397856,0.954456152884444,1.04732974032337,0.902828625947471,0.988244908222278,1.07641587319278,0.963572157502728,1.03971045866595,1.12420657648811,0.800640146319159,1.03486997635934,1.31456456456456
"10",0.835179441736819,0.982794577685089,1.14173228346457,0.797627154238237,0.962205700123916,1.15381045034993,0.693775517040071,0.812706816677697,0.957131722525331,0.709372972732935,0.800187324383391,0.899621796505575,0.872721034532457,0.960355987055016,1.05365420652924,0.906864232662039,0.989610880241783,1.07805932871156,0.965052589609923,1.04119342381084,1.12565473871298,0.78894472361809,1.02068557919622,1.29654654654655
"11",0.823216659282233,0.96972860125261,1.12676057348673,0.787060201812895,0.948084054388133,1.13547624530526,0.674536256323777,0.790513833992095,0.932419058391064,0.690714055848015,0.77888198757764,0.875705970706978,0.869316790466084,0.956186029807865,1.04967474866943,0.903209685853432,0.987440341622708,1.07825473379489,0.961767471012222,1.0377358490566,1.12237098643611,0.783096087356121,1.01120283018868,1.28368263473054
"12",0.825221238938053,0.97186034392913,1.13032016649209,0.789014373716632,0.948765432098765,1.13767579570688,0.671340437464947,0.785433070866142,0.926488529183943,0.684249216364839,0.771136574790957,0.865785813630042,0.871409828860688,0.957513698014911,1.05118097643736,0.897501451795921,0.979988708362085,1.06934447767552,0.959990956016559,1.03588492545497,1.11995252251354,0.78382084095064,1.0117994100295,1.28272251308901
"13",0.824195849811621,0.968344577062792,1.12819118586192,0.79501782566278,0.954905545399147,1.14463111760409,0.668892598775737,0.782552083333333,0.921796826813065,0.679167807281686,0.764560862865948,0.859965337954939,0.86119899407804,0.946589389210878,1.03925599608419,0.897008353122265,0.980079930061196,1.06994706554406,0.962179985258513,1.03732902095546,1.12224814112844,0.791304347826087,1.02186761229314,1.2941859118841
"14",0.819022457067371,0.962234868080704,1.12048192771084,0.788743815166788,0.950549450549451,1.14233308877476,0.638917409119611,0.748051948051948,0.884113584036838,0.664203612479475,0.747574328528481,0.840956340956341,0.863393339047955,0.949367088607595,1.04289327015484,0.890482611072263,0.975274725274725,1.06454212603569,0.960764227651103,1.03627082213864,1.12187522170369,0.789706274645154,1.01775147928994,1.29131554544778
